Moscase Inc. Serial Entrepreneur.,,,,,,,
Enertech Resources LLC,,,,,,,
Prelude Solutions,,,,,,,
Intelligent Locations,,,,,,,
Greenlight Networks,,,,,,,
Seven Peaks Ventures,,,,,,,
Access Wisconsin,,,,,,,
TelcoBridges,,,,,,,
MitSix LLC,,,,,,,
"Espy Services, Inc.",,,,,,,
FoneLogix®,,,,,,,
Regis University College of Computer & Information Sciences,,,,,,,
Connected Analytics Inc.,,,,,,,
DartPoints,,,,,,,
Mach Networks,,,,,,,
Smart Texas Alliance,,,,,,,
BeyondEdge,,,,,,,
eWireless,,,,,,,
LGRS,,,,,,,
Stacytech Division of System Communications,,,,,,,
SensLynx LLC,,,,,,,
The John Maxwell Company,,,,,,,
Business Development Group,,,,,,,
